Dataset information
-- Columns ['image', 'label']
-- Shape (75000, 2)
-- Label ClassLabel(names=['Arborio', 'Basmati', 'Ipsala', 'Jasmine', 'Karacadag'], id=None)
-- Image Image(mode=None, decode=True, id=None)
Train dataset (67500, 2)
Val dataset (7500, 2)
First image
-- image label tensor(4)
-- image shape torch.Size([3, 250, 250])
Running on device: mps
Number of parameters 87054575
EPOCH: 1/1 | BATCH: 88/1054 | BATCH LOSS: 0.0562 | BATCH ACCURACY: 1.0000
EPOCH: 1/1 | BATCH: 89/1054 | BATCH LOSS: 0.0539 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 90/1054 | BATCH LOSS: 0.0761 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 91/1054 | BATCH LOSS: 0.0595 | BATCH ACCURACY: 1.0000
EPOCH: 1/1 | BATCH: 92/1054 | BATCH LOSS: 0.1670 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 93/1054 | BATCH LOSS: 0.1236 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 94/1054 | BATCH LOSS: 0.1253 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 95/1054 | BATCH LOSS: 0.0795 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 96/1054 | BATCH LOSS: 0.1148 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 97/1054 | BATCH LOSS: 0.1177 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 98/1054 | BATCH LOSS: 0.1120 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 99/1054 | BATCH LOSS: 0.0121 | BATCH ACCURACY: 1.0000
EPOCH: 1/1 | BATCH: 100/1054 | BATCH LOSS: 0.0946 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 101/1054 | BATCH LOSS: 0.3539 | BATCH ACCURACY: 0.8906
EPOCH: 1/1 | BATCH: 102/1054 | BATCH LOSS: 0.0200 | BATCH ACCURACY: 1.0000
EPOCH: 1/1 | BATCH: 103/1054 | BATCH LOSS: 0.1718 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 104/1054 | BATCH LOSS: 0.0792 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 105/1054 | BATCH LOSS: 0.1504 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 106/1054 | BATCH LOSS: 0.1051 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 107/1054 | BATCH LOSS: 0.1715 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 108/1054 | BATCH LOSS: 0.0356 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 109/1054 | BATCH LOSS: 0.0788 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 110/1054 | BATCH LOSS: 0.1077 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 111/1054 | BATCH LOSS: 0.0966 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 112/1054 | BATCH LOSS: 0.1947 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 113/1054 | BATCH LOSS: 0.0308 | BATCH ACCURACY: 1.0000
EPOCH: 1/1 | BATCH: 114/1054 | BATCH LOSS: 0.2403 | BATCH ACCURACY: 0.9219
EPOCH: 1/1 | BATCH: 115/1054 | BATCH LOSS: 0.0606 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 116/1054 | BATCH LOSS: 0.0968 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 117/1054 | BATCH LOSS: 0.0841 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 118/1054 | BATCH LOSS: 0.1646 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 119/1054 | BATCH LOSS: 0.1885 | BATCH ACCURACY: 0.9062
EPOCH: 1/1 | BATCH: 120/1054 | BATCH LOSS: 0.1209 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 121/1054 | BATCH LOSS: 0.0859 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 122/1054 | BATCH LOSS: 0.0718 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 123/1054 | BATCH LOSS: 0.0501 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 124/1054 | BATCH LOSS: 0.1363 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 125/1054 | BATCH LOSS: 0.1554 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 126/1054 | BATCH LOSS: 0.1241 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 127/1054 | BATCH LOSS: 0.1407 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 128/1054 | BATCH LOSS: 0.1110 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 129/1054 | BATCH LOSS: 0.0463 | BATCH ACCURACY: 1.0000
EPOCH: 1/1 | BATCH: 130/1054 | BATCH LOSS: 0.0390 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 131/1054 | BATCH LOSS: 0.2370 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 132/1054 | BATCH LOSS: 0.0755 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 133/1054 | BATCH LOSS: 0.1162 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 134/1054 | BATCH LOSS: 0.1311 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 135/1054 | BATCH LOSS: 0.2486 | BATCH ACCURACY: 0.9219
EPOCH: 1/1 | BATCH: 136/1054 | BATCH LOSS: 0.0840 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 137/1054 | BATCH LOSS: 0.2332 | BATCH ACCURACY: 0.8906
EPOCH: 1/1 | BATCH: 138/1054 | BATCH LOSS: 0.0599 | BATCH ACCURACY: 1.0000
EPOCH: 1/1 | BATCH: 139/1054 | BATCH LOSS: 0.2929 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 140/1054 | BATCH LOSS: 0.1235 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 141/1054 | BATCH LOSS: 0.0787 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 142/1054 | BATCH LOSS: 0.1607 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 143/1054 | BATCH LOSS: 0.3459 | BATCH ACCURACY: 0.9219
EPOCH: 1/1 | BATCH: 144/1054 | BATCH LOSS: 0.1718 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 145/1054 | BATCH LOSS: 0.1185 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 146/1054 | BATCH LOSS: 0.0969 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 147/1054 | BATCH LOSS: 0.0777 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 148/1054 | BATCH LOSS: 0.0727 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 149/1054 | BATCH LOSS: 0.1822 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 150/1054 | BATCH LOSS: 0.0766 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 151/1054 | BATCH LOSS: 0.0448 | BATCH ACCURACY: 1.0000
EPOCH: 1/1 | BATCH: 152/1054 | BATCH LOSS: 0.1653 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 153/1054 | BATCH LOSS: 0.1401 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 154/1054 | BATCH LOSS: 0.2206 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 155/1054 | BATCH LOSS: 0.0567 | BATCH ACCURACY: 1.0000
EPOCH: 1/1 | BATCH: 156/1054 | BATCH LOSS: 0.0882 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 157/1054 | BATCH LOSS: 0.1065 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 158/1054 | BATCH LOSS: 0.1486 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 159/1054 | BATCH LOSS: 0.0981 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 160/1054 | BATCH LOSS: 0.0888 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 161/1054 | BATCH LOSS: 0.1009 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 162/1054 | BATCH LOSS: 0.0805 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 163/1054 | BATCH LOSS: 0.0783 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 164/1054 | BATCH LOSS: 0.1793 | BATCH ACCURACY: 0.9062
EPOCH: 1/1 | BATCH: 165/1054 | BATCH LOSS: 0.0637 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 166/1054 | BATCH LOSS: 0.0632 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 167/1054 | BATCH LOSS: 0.2547 | BATCH ACCURACY: 0.9062
EPOCH: 1/1 | BATCH: 168/1054 | BATCH LOSS: 0.0629 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 169/1054 | BATCH LOSS: 0.0644 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 170/1054 | BATCH LOSS: 0.3571 | BATCH ACCURACY: 0.9062
EPOCH: 1/1 | BATCH: 171/1054 | BATCH LOSS: 0.0945 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 172/1054 | BATCH LOSS: 0.1363 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 173/1054 | BATCH LOSS: 0.2568 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 174/1054 | BATCH LOSS: 0.2159 | BATCH ACCURACY: 0.9219
EPOCH: 1/1 | BATCH: 175/1054 | BATCH LOSS: 0.0481 | BATCH ACCURACY: 1.0000
EPOCH: 1/1 | BATCH: 176/1054 | BATCH LOSS: 0.0571 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 177/1054 | BATCH LOSS: 0.0734 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 178/1054 | BATCH LOSS: 0.1586 | BATCH ACCURACY: 0.9219
EPOCH: 1/1 | BATCH: 179/1054 | BATCH LOSS: 0.1116 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 180/1054 | BATCH LOSS: 0.0350 | BATCH ACCURACY: 1.0000
EPOCH: 1/1 | BATCH: 181/1054 | BATCH LOSS: 0.1446 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 182/1054 | BATCH LOSS: 0.1404 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 183/1054 | BATCH LOSS: 0.0421 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 184/1054 | BATCH LOSS: 0.0422 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 185/1054 | BATCH LOSS: 0.0603 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 186/1054 | BATCH LOSS: 0.0780 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 187/1054 | BATCH LOSS: 0.0511 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 188/1054 | BATCH LOSS: 0.1143 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 189/1054 | BATCH LOSS: 0.0839 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 190/1054 | BATCH LOSS: 0.1060 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 191/1054 | BATCH LOSS: 0.0599 | BATCH ACCURACY: 1.0000
EPOCH: 1/1 | BATCH: 192/1054 | BATCH LOSS: 0.1007 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 193/1054 | BATCH LOSS: 0.0808 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 194/1054 | BATCH LOSS: 0.1779 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 195/1054 | BATCH LOSS: 0.0807 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 196/1054 | BATCH LOSS: 0.0466 | BATCH ACCURACY: 1.0000
EPOCH: 1/1 | BATCH: 197/1054 | BATCH LOSS: 0.0673 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 198/1054 | BATCH LOSS: 0.0505 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 199/1054 | BATCH LOSS: 0.1018 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 200/1054 | BATCH LOSS: 0.0196 | BATCH ACCURACY: 1.0000
EPOCH: 1/1 | BATCH: 201/1054 | BATCH LOSS: 0.1082 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 202/1054 | BATCH LOSS: 0.1751 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 203/1054 | BATCH LOSS: 0.2492 | BATCH ACCURACY: 0.8594
EPOCH: 1/1 | BATCH: 204/1054 | BATCH LOSS: 0.0301 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 205/1054 | BATCH LOSS: 0.2813 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 206/1054 | BATCH LOSS: 0.2777 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 207/1054 | BATCH LOSS: 0.0459 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 208/1054 | BATCH LOSS: 0.1245 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 209/1054 | BATCH LOSS: 0.0895 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 210/1054 | BATCH LOSS: 0.0512 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 211/1054 | BATCH LOSS: 0.1479 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 212/1054 | BATCH LOSS: 0.0899 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 213/1054 | BATCH LOSS: 0.1805 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 214/1054 | BATCH LOSS: 0.1108 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 215/1054 | BATCH LOSS: 0.1977 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 216/1054 | BATCH LOSS: 0.1307 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 217/1054 | BATCH LOSS: 0.0968 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 218/1054 | BATCH LOSS: 0.0796 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 219/1054 | BATCH LOSS: 0.1744 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 220/1054 | BATCH LOSS: 0.0581 | BATCH ACCURACY: 1.0000
EPOCH: 1/1 | BATCH: 221/1054 | BATCH LOSS: 0.0321 | BATCH ACCURACY: 1.0000
EPOCH: 1/1 | BATCH: 222/1054 | BATCH LOSS: 0.1122 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 223/1054 | BATCH LOSS: 0.0498 | BATCH ACCURACY: 1.0000
EPOCH: 1/1 | BATCH: 224/1054 | BATCH LOSS: 0.0597 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 225/1054 | BATCH LOSS: 0.1520 | BATCH ACCURACY: 0.9688
EPOCH: 1/1 | BATCH: 226/1054 | BATCH LOSS: 0.0862 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 227/1054 | BATCH LOSS: 0.0389 | BATCH ACCURACY: 1.0000
EPOCH: 1/1 | BATCH: 228/1054 | BATCH LOSS: 0.0245 | BATCH ACCURACY: 1.0000
EPOCH: 1/1 | BATCH: 229/1054 | BATCH LOSS: 0.1732 | BATCH ACCURACY: 0.9375
EPOCH: 1/1 | BATCH: 230/1054 | BATCH LOSS: 0.0226 | BATCH ACCURACY: 1.0000
EPOCH: 1/1 | BATCH: 231/1054 | BATCH LOSS: 0.0500 | BATCH ACCURACY: 0.9844
EPOCH: 1/1 | BATCH: 232/1054 | BATCH LOSS: 0.0387 | BATCH ACCURACY: 1.0000
EPOCH: 1/1 | BATCH: 233/1054 | BATCH LOSS: 0.1076 | BATCH ACCURACY: 0.9531
EPOCH: 1/1 | BATCH: 234/1054 | BATCH LOSS: 0.0255 | BATCH ACCURACY: 1.0000
EPOCH: 1/1 | BATCH: 235/1054 | BATCH LOSS: 0.1398 | BATCH ACCURACY: 0.9375
